page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong,nang_luong_don_vi,chat_dam,chat_beo,chat_bot_duong
20,1,VPF-000148,Các món khác,Cua đồng rang,Stir-fried freshwater crab,224,Kcal,15.6,16.6,
20,2,VPF-000147,Các món khác,Cua đồng rang,Stir-fried freshwater crab,207,Kcal,15,11,12
20,3,VPF-000146,Các món khác,Trứng đúc thịt rán,Fried omelette with pork,282,Kcal,10.7,26.2,0.8
20,4,VPF-000145,Các món khác,Trạch tẩm bột chiên,Battered fried loach fish,886,Kcal,62.7,38.1,73.1
20,5,VPF-000144,Các món khác,Tôm sốt cà chua,Shrimp in tomato sauce,105,Kcal,16.5,2.9,3.1
20,6,VPF-000143,Các món khác,Tôm lăn bột chiên,Battered fried shrimp,305,Kcal,36.1,15.5,31.8
20,7,VPF-000142,Các món khác,Tôm chiên,Fried shrimp,145,Kcal,17.6,7.9,
20,8,VPF-000141,Các món khác,Thịt lợn xá xíu,Char siu pork,846,Kcal,503,68.2,7.3
20,9,VPF-000140,Các món khác,Thịt lợn rán,Fried pork,195,Kcal,11.6,16.5,
20,10,VPF-000139,Các món khác,Thịt lợn chiên xù,Breaded fried pork,204,Kcal,12.3,14.3,6.6
20,11,VPF-000138,Các món khác,Thịt lợn băm viên rán,Fried minced pork balls,319,Kcal,17.7,27.6,
20,12,VPF-000137,Các món khác,Thịt ếch tẩm bột chiên,Battered fried frog meat,476,Kcal,26.5,30.9,22.9
20,13,VPF-000136,Các món khác,Thịt bò bít tết khoai tây chiên,Beef steak with French fries,210,Kcal,20,8,13
20,14,VPF-000135,Các món khác,Sườn lợn rán,Fried pork ribs,452,Kcal,26.6,36.4,5
20,15,VPF-000134,Các món khác,Ngô chiên,Fried corn,806,Kcal,10.5,43.1,93.8
21,1,VPF-000133,Các món khác,Nem rán / Chả giò chiên,Fried spring rolls,102,Kcal,7.8,7.5,83.1
21,2,VPF-000132,Các món khác,Mực trứng chiên,Fried squid with roe,462,Kcal,50.8,24.4,9.9
21,3,VPF-000131,Các món khác,Mực ống nhồi thịt chiên bơ,Butter-fried stuffed squid,601,Kcal,51.2,34.3,22.1
21,4,VPF-000130,Các món khác,Lạc chiên muối,Salted fried peanuts,618,Kcal,27.5,49.5,15.5
21,5,VPF-000129,Các món khác,Khoai tây chiên,French fries,466,Kcal,1.6,10,17
21,6,VPF-000128,Các món khác,Khoai môn chiên,Fried taro,579,Kcal,10.7,21.2,87.3
21,7,VPF-000127,Các món khác,Khoai lang chiên,Fried sweet potato,574,Kcal,4.7,25.2,82.8
21,8,VPF-000126,Các món khác,Đùi gà rán,Fried chicken thigh,251,Kcal,24.3,17.4,0.9
21,9,VPF-000125,Các món khác,Đậu phụ sốt cà chua,Tofu in tomato sauce,320,Kcal,20,24.8,4.2
21,10,VPF-000124,"Chè, các loại giải khát",Đậu phụ rán,Fried tofu,139,Kcal,8.7,11.3,0.6
21,11,VPF-000123,Các món khác,Đậu phụ nhồi thịt sốt cà chua,Tofu stuffed with meat in tomato sauce,248,Kcal,20,17.6,0.9
21,12,VPF-000122,Các món khác,Chả xương xông,Fried meat wrapped in Piper lolot leaves,111,Kcal,7.3,9,0.1
21,13,VPF-000121,Các món khác,Chả cá rán,Fried fish cakes,235,Kcal,19.7,17.3,
21,14,VPF-000120,Các món khác,Cánh gà tẩm bột rán,Battered fried chicken wings,205,Kcal,11.7,14.9,9.6
21,15,VPF-000119,Các món khác,Cá trôi rán sốt cà chua,Fried carp with tomato sauce,449,Kcal,36.5,30.7,6.5
22,1,VPF-000118,Các món khác,Cá trắm rán,Fried grass carp,227,Kcal,25.5,13.9,
22,2,VPF-000117,Các món khác,Cá thu rán sốt cà chua,Fried mackerel with tomato sauce,511,Kcal,45.8,35.8,1.4
22,3,VPF-000116,Các món khác,Cá thu rán,Fried mackerel,338,Kcal,27.3,25.4,
22,4,VPF-000115,Các món khác,Cá tẩm bột rán,Battered fried fish,246,Kcal,18.3,17.1,4.4
22,5,VPF-000114,Các món khác,Cá rô phi rán,Fried tilapia,622,Kcal,104.8,22.3,0.4
22,6,VPF-000113,Các món khác,Cá rô đồng rán,Fried field perch,333,Kcal,22.1,26.2,2.5
22,7,VPF-000112,Các món khác,Cá nục rán,Fried mackerel (short mackerel),156,Kcal,15.2,10.6,
22,8,VPF-000111,Các món khác,Vịt quay,Roast duck,1220,Kcal,34,118,5
22,9,VPF-000110,Các món khác,Tôm nướng,Grilled shrimp,86,Kcal,16.8,0.9,2.8
22,10,VPF-000109,Các món khác,Thịt lợn xiên nướng,Grilled pork skewers,222,Kcal,27.6,10.02,5.1
22,11,VPF-000108,Các món khác,Thịt lợn ba chỉ quay,Roasted pork belly,309,Kcal,40.3,14.6,3.8
22,12,VPF-000107,Các món khác,Thịt lợn ba chỉ quay,Roast pork belly,473,Kcal,30,38.7,1.1
22,13,VPF-000106,Các món khác,Sò huyết nướng mỡ hành,Grilled blood cockles with scallion oil,169,Kcal,3.4,15.8,3.4
22,14,VPF-000105,Các món khác,Gà nướng,Grilled chicken,242,Kcal,14.2,19.5,1.9
22,15,VPF-000104,Các món khác,Chim câu nướng,Grilled pigeon,363,Kcal,18.3,30.1,4.7
23,1,VPF-000103,Các món khác,Cá trê nướng,Grilled catfish,396,Kcal,47,22.9,0.4
23,2,VPF-000102,Các món khác,Bò nướng,Grilled beef,428,Kcal,67.8,12.7,10.8
23,3,VPF-000101,Các món khác,Bê nướng,Grilled veal,277,Kcal,60.5,2,4.2
23,4,VPF-000100,Các món khác,Tôm biển hấp,Steamed shrimp,189,Kcal,40.5,2.1,2.1
23,5,VPF-000099,Các món khác,Tim lợn luộc,Boiled pork heart,125,Kcal,18.8,4.7,1.9
23,6,VPF-000098,Các món khác,Thịt vịt luộc,Boiled duck,1500,Kcal,43.1,147.5,
23,7,VPF-000097,Các món khác,Thịt lợn thăn luộc,Boiled pork tenderloin,49,Kcal,6.7,2.5,
23,8,VPF-000096,Các món khác,Thịt lợn nạc vai luộc,Boiled pork shoulder,92,Kcal,7.1,7,
23,9,VPF-000095,Các món khác,Thịt lợn ba chỉ luộc,Boiled pork belly,117,Kcal,7.4,9.7,
23,10,VPF-000094,Các món khác,Thịt gà luộc,Boiled chicken,577,Kcal,58.9,38,
23,11,VPF-000093,Các món khác,Thịt chân giò luộc,Boiled pork leg,216,Kcal,15.7,17,
23,12,VPF-000092,Các món khác,Thịt bò bắp luộc,Boiled beef shank,59,Kcal,10.5,1.9,
23,13,VPF-000091,Các món khác,Thịt bê hấp,Steamed veal,514,Kcal,67.2,26.3,2.1
23,14,VPF-000090,Các món khác,Tai lợn luộc,Boiled pork ear,126,Kcal,21,4.1,1.3
23,15,VPF-000089,Các món khác,"Su hào, cà rốt luộc",Boiled kohlrabi and carrot,112,Kcal,7.2,0.4,20
24,1,VPF-000088,Các món khác,Rau ngót luộc,Boiled sweet leaf,28,Kcal,4.2,,2.7
24,2,VPF-000087,Các món khác,Rau mùng tơi luộc,Boiled Malabar spinach,11,Kcal,1.6,,1.1
24,3,VPF-000086,Các món khác,Rau muống luộc,Boiled water spinach,78,Kcal,10,1.2,
24,4,VPF-000085,Các món khác,Rau giền luộc,Boiled amaranth leaves,74,Kcal,5.9,0.5,11.2
24,5,VPF-000084,Các món khác,Rau bắp cải luộc,Boiled cabbage,58,Kcal,3.6,,10.8
24,6,VPF-000083,Các món khác,Ốc vặn luộc,Boiled whelk,91,Kcal,15.4,0.9,
24,7,VPF-000082,Các món khác,Ốc nhồi hấp,Steamed stuffed snails,191,Kcal,19.9,4.3,18.1
24,8,VPF-000081,Các món khác,Ngọn su su luộc,Boiled chayote shoots,14,Kcal,2.2,,1.4
24,9,VPF-000080,Các món khác,Mực hấp,Steamed squid,95,Kcal,17,0.8,4.9
24,10,VPF-000079,Các món khác,Lưỡi lợn luộc,Boiled pork tongue,550,Kcal,40.8,43,
24,11,VPF-000078,Các món khác,Lòng lợn luộc,Boiled pork intestines,250,Kcal,30.8,13.6,1.2
24,12,VPF-000077,Các món khác,Giá đỗ luộc,Boiled bean sprouts,65,Kcal,8.3,,8
24,13,VPF-000076,Các món khác,Ghẹ hấp,Steamed crab,81,Kcal,17.9,1.1,
24,14,VPF-000075,Các món khác,Gà xé phay,Shredded chicken,496,Kcal,35.9,19.7,44.1
24,15,VPF-000074,Các món khác,Gan lợn luộc,Boiled pork liver,371,Kcal,60.2,11.5,6.4
25,1,VPF-000073,Các món khác,Đuôi lợn luộc,Boiled pork tail,374,Kcal,8.6,37.7,
25,2,VPF-000072,Các món khác,Đậu phụ luộc,Boiled tofu,190,Kcal,21.8,10.8,
25,3,VPF-000071,Các món khác,Đậu cove luộc,Boiled green beans,58,Kcal,4,,10.6
25,4,VPF-000070,Các món khác,Đậu đũa luộc,Boiled yardlong beans,243,Kcal,24,1.6,33.2
25,5,VPF-000069,Các món khác,Dồi lợn luộc,Boiled pork sausage,274,Kcal,29.8,17,
25,6,VPF-000068,Các món khác,Dê tái chanh,Rare goat with lime,501,Kcal,73.7,17.3,12.2
25,7,VPF-000067,Các món khác,Dạ dày luộc,Boiled pork stomach,159,Kcal,27.4,5.4,
25,8,VPF-000066,Các món khác,Củ cải luộc,Boiled radish,63,Kcal,4.4,,10.7
25,9,VPF-000065,Các món khác,Cua biển hấp,Steamed crab,186,Kcal,22.3,2.6,18.4
25,10,VPF-000064,Các món khác,Bí xanh luộc,Boiled winter melon,10,Kcal,0.5,,1.9
25,11,VPF-000063,Các món khác,Bí đỏ luộc,Boiled pumpkin,19,Kcal,0.2,,4.5
25,12,VPF-000062,Các món khác,Vịt om sấu,Duck braised with dracontomelon,2814,Kcal,79.9,265.5,26.1
25,13,VPF-000061,Các món khác,Thịt mông sấn kho cùi dừa,Braised pork haunch with coconut flesh,309,Kcal,14.4,25.9,4.5
25,14,VPF-000060,Các món khác,Thịt mông sấn kho củ cải,Braised pork haunch with daikon,861,Kcal,51.2,67.2,12.4
25,15,VPF-000059,Các món khác,Thịt lợn thăn rim,Caramelized pork tenderloin,139,Kcal,19,7,
26,1,VPF-000058,Các món khác,Thịt lợn sốt cà chua,Pork in tomato sauce,98,Kcal,7.5,7.1,1.1
26,2,VPF-000057,Các món khác,Thịt lợn ba chỉ kho trứng cút,Braised pork belly with quail eggs,473,Kcal,26.3,36.3,10.1
26,3,VPF-000056,Các món khác,Thịt lợn ba chỉ kho tàu,Caramelized braised pork belly,260,Kcal,16.5,21.5,
26,4,VPF-000055,Các món khác,Thịt chân giò nấu đông,Jellied pork leg stew,419,Kcal,25.6,32.8,5.7
26,5,VPF-000054,Các món khác,Thịt bò sốt vang,Beef stew in red wine sauce,905,Kcal,65.9,42,46.7
26,6,VPF-000053,Các món khác,Thịt bò kho,Braised beef,421,Kcal,36,31,
26,7,VPF-000052,Các món khác,Ốc om chuối đậu,Snail braised with banana and tofu,600,Kcal,37,41.3,21
26,8,VPF-000051,Các món khác,Lươn om chuối đậu,Eel braised with banana and tofu,530,Kcal,33.3,33.3,24.2
26,9,VPF-000050,Các món khác,Gà Tần thuốc bắc,Herbal stewed chicken,283,Kcal,28.7,16.8,4.2
26,10,VPF-000049,Các món khác,Đậu phụ kho thịt,Braised tofu with pork,452,Kcal,30.8,35.9,2
26,11,VPF-000048,Các món khác,Đậu phụ kho nấm,Braised tofu with mushrooms,194,Kcal,22.1,9,6.41
26,12,VPF-000047,Các món khác,Cá Trắm kho,Braised grass carp,,,110,20.4,3.1
26,13,VPF-000046,Các món khác,Cá Trạch kho,Braised loach fish,298,Kcal,31.2,10,
26,14,VPF-000045,Các món khác,Cá thu kho,Braised Spanish mackerel,116,Kcal,13,7.2,0.3
26,15,VPF-000044,Các món khác,Cá quả (Cá lóc) kho,Braised snakehead fish,54,Kcal,10.2,1.5,
27,1,VPF-000043,Các món khác,Cá Nục kho,Braised mackerel (short mackerel),565,Kcal,71,27,10
27,2,VPF-000042,Các món khác,Cá Ngừ kho dứa,Braised tuna with pineapple,159,Kcal,36.4,0.5,2.2
27,3,VPF-000041,Các món khác,Cá Diếc kho,Braised crucian carp,247,Kcal,26.2,13.6,5
27,4,VPF-000040,Các món khác,Cá chày kho,Braised mud carp,147,Kcal,26.6,4.7,0.4
27,5,VPF-000039,Các món khác,Cá bống kho,Braised goby fish,110,Kcal,5.6,5.3,10
27,6,VPF-000038,Các món khác,Canh mực nấu rau rút,Squid soup with rice-paddy herb,33,Kcal,6.6,0.2,1.3
27,7,VPF-000037,Các món khác,Canh trai nấu chua,Sour mussel soup,88,Kcal,8.6,1.8,9.5
27,8,VPF-000036,Các món khác,"Canh sườn khoai tây, cà rốt",Crab paste soup,316,Kcal,19.1,11,35.1
27,9,VPF-000035,Các món khác,Canh rau cua,Water mimosa soup with beef,60,Kcal,6.6,1.6,4.7
27,10,VPF-000034,Các món khác,Canh rau nhút nấu bò,Rice-paddy herb soup with beef,84,Kcal,10.7,3.9,1.4
27,11,VPF-000033,Các món khác,Canh rau ngót nấu thịt,Sweet leaf soup with pork,114,Kcal,6,9.3,1.7
27,12,VPF-000032,Các món khác,Canh mướp lạc,Luffa and peanut soup,141,Kcal,6.2,10,6.7
27,13,VPF-000031,Các món khác,Canh khổ qua (mướp đắng) nhồi thịt,Bitter melon stuffed with meat soup,127,Kcal,7.5,7.7,7.1
27,14,VPF-000030,Các món khác,"Canh khoai sọ nấu xương, rau rút",Taro soup with pork bones and rice-paddy herb,384,Kcal,13.5,12.4,54.5
27,15,VPF-000029,Các món khác,"Canh đu đủ xanh, thịt nạc",Green papaya soup with lean pork,155,Kcal,16.7,5.6,9.3
28,1,VPF-000028,Các món khác,Canh đậu trắng nấu xương lợn,White bean soup with pork bones,410,Kcal,28,8.6,54.9
28,2,VPF-000027,Các món khác,"Canh đậu, thịt, cà chua","Tofu, pork, and tomato soup",228,Kcal,26.4,11.6,4.5
28,3,VPF-000026,Các món khác,Canh chân giò nấu măng,Pork leg soup with bamboo shoots,370,Kcal,19.6,30.8,3.9
28,4,VPF-000025,Các món khác,Canh cải xanh thịt nạc,Mustard greens soup with lean pork,48,Kcal,5.9,1.4,3
28,5,VPF-000024,Các món khác,Canh cà tím nấu bung,Braised eggplant soup,408,Kcal,18.7,33,9.1
28,6,VPF-000023,Các món khác,Canh cá rô đồng nấu rau cải,Field perch fish soup with mustard greens,117,Kcal,9.9,7.4,2.7
28,7,VPF-000022,Các món khác,Canh cá mè nấu chuối,Carp fish soup with banana,588,Kcal,31.7,43.3,
28,8,VPF-000021,Các món khác,Canh cá lóc (Các quả) nấu chua,Sour snakehead fish soup (with assorted vegetables),294,Kcal,34.6,14.8,5.6
28,9,VPF-000020,Các món khác,Canh bí đỏ thịt nạt,Pumpkin soup with lean pork,176,Kcal,10.3,8.7,14
28,10,VPF-000019,Các món khác,Canh bí đao nấu sườn lợn,Winter melon soup with pork ribs,,,168,12.2,6.2
28,11,VPF-000018,Các món khác,Canh bầu nấu cơm,Winter melon soup with shrimp,88,Kcal,5.4,5.4,4.6
28,12,VPF-000017,Các món khác,Cá chép nấu dưa,Carp cooked with pickled mustard greens,1525,Kcal,188,75.8,22.8
28,13,VPF-000016,Các món khác,Sushi xúc xích,Sausage sushi,45,Kcal,1.8,2.4,4
28,14,VPF-000015,Cơm các loại,Sushi thập cẩm,Mixed sushi,54,Kcal,2.7,1.2,8.2
28,15,VPF-000014,Cơm các loại,Sushi phô mai,Cheese sushi,42,Kcal,1.7,1.5,
29,1,VPF-000013,Cơm các loại,Cơm sườn,Pork rib rice,616,Kcal,24.5,16.2,93
29,2,VPF-000012,Cơm các loại,"Cơm suất văn phòng (Thịt ba chỉ, đậu phụ)","Office set meal (pork belly, tofu)",682,Kcal,26,24,90
29,3,VPF-000011,Cơm các loại,"Cơm suất văn phòng (Thịt nạc vai, su hào)","Office set meal (pork shoulder, kohlrabi)",650,Kcal,25.1,18.9,94.9
29,4,VPF-000010,Cơm các loại,"Cơm suất văn phòng (Thịt nạc vai, đậu phụ)","Office set meal (pork shoulder, tofu)",759,Kcal,29.9,26.3,100.7
29,5,VPF-000009,Cơm các loại,Cơm rang thập cẩm,Mixed fried rice,623,Kcal,19.9,21.9,86.6
29,6,VPF-000008,Cơm các loại,Cơm hến,Baby clam rice,291,Kcal,18,6.3,40.1
29,7,VPF-000007,Cơm các loại,Cơm nắm,Rice ball,336,Kcal,8.7,5.7,62.2
29,8,HAP-223019,Các món khác,Chả lợn mỡ,Fatty pork-patse,367.2,Kcal,7.7,35.8,3.6
29,9,HAP-213023,Các loại bánh,Bì bò,Spring roll with mixed beef and vegetables,684.1,Kcal,55.2,12.8,87
29,10,HAP-223002,Các món khác,Tôm viên chiên đường phố,Fried shrimp balls,264.6,Kcal,10.8,19,12.9
29,11,HAP-213024,Các loại bánh,Bánh mỳ bò sốt vang,Baguette with beef stew sauce,501,Kcal,55,0.7,68.7
29,12,HAP-221013,Giải khát,Nước ép lê,Pear juice,229.2,Kcal,3.4,1,51.8
29,13,HAP-211040,Các loại bánh,Bánh rán vừng (5 chiếc),Sesame fried cake (5 pieces),159,Kcal,4.2,7.2,19.4
29,14,HAP-221011,Giải khát,Nước ép lựu,Pomegranate Juice,211.8,Kcal,0.6,1.1,49.9
29,15,HAP-213005,Các loại bánh,Bánh mỳ que 1 cái,French baguette (1 piece),116,Kcal,5.5,7.2,7.4
30,1,HAP-213012,Các loại bánh,Bánh mỳ chả cá sốt cay,Banh my with fish cake in spicy sauce,177.5,Kcal,7.5,4.9,25.8
30,2,HAP-213079,Các loại bánh,Bánh mỳ nướng muối ớt,Salt and pepper toast,420.6,Kcal,12.3,32.2,20.4
30,3,HAP-211058,Các loại bánh,Bánh mỳ cay 5 cái,Spicy baguette (5 pieces),241.4,Kcal,7.7,7.9,34.9
30,4,HAP-211072,Các loại bánh,Bánh mỳ chảo,"Banh my with beef, egg, pate and sausage served in frying pan",702.7,Kcal,33,27.8,80.1
30,5,HAP-211020,Các loại bánh,Bánh mỳ cay,Spicy baguette,751.9,Kcal,24.1,35.6,83.9
30,6,HAP-211044,Các loại bánh,Bánh mỳ chảo sốt ngọt,"Banh my with egg, pate and sausage with sweet sauce served in frying pan",713.6,Kcal,24.8,30.2,85.6
30,7,HAP-213078,Các loại bánh,Bánh giò,Pyramid rice dumpling,337.9,Kcal,22.9,12,34.6
30,8,HAP-211073,Các loại bánh,Bánh mỳ thịt xiên mật ong,Honey baked bread with BBQ pork skewers,336.3,Kcal,14.3,19.1,26.8
30,9,HAP-211107,Các loại bánh,Bánh giò,Pyramid rice dumpling,473.9,Kcal,28.4,16.6,52.7
30,10,HAP-211094,Các loại bánh,Bánh mỳ nướng muối ớt,Salt and pepper toast,428.9,Kcal,16.2,19.8,46.4
30,11,HAP-223016,Các món khác,Trứng vịt lộn 2 quả,Balut (2 pieces),120.9,Kcal,9.7,6.2,6.5
30,12,HAP-213011,Các loại bánh,Bánh mỳ sốt trứng cút,Banh my with sauced quail eggs,401,Kcal,24.9,16.3,37.9
30,13,HAP-223018,Các món khác,Thịt xiên nướng 6 cái,Grilled meat skewers (6 pieces),247.7,Kcal,15.5,20.1,1.2
30,14,HAP-211071,Các loại bánh,Bì bò,Spring roll with mixed beef and vegetables,994.4,Kcal,86.1,24.8,106.7
30,15,HAP-223024,Các món khác,Thịt lợn quay,Roast pork,529.9,Kcal,81.1,21.3,3.4
31,1,HAP-213053,Các loại bánh,Cuốn bỗng 8 cái,Lettuce roll with shrimp with vinegar dipping sauce,284.6,Kcal,25.2,6.6,31.1
31,2,HAP-221016,Các món khác,Sắn luộc,Boiled cassava,580.2,Kcal,4,0.7,139.4
31,3,HAP-211037,Giải khát,Cà phê dừa,Coconut coffee,183.6,Kcal,2.4,8,25.5
31,4,HAP-223007,Các món khác,Phô mai chiên,Fried cheese,783.9,Kcal,31.6,63.5,21.5
31,5,HAP-213006,"Chè, các loại giải khát",Chè sầu riêng,Durian dessert soup,283.2,Kcal,5.7,1.5,61.7
31,6,HAP-221028,Các món khác,Ngô nướng,Grilled corn,265.6,Kcal,5.4,3.1,54.1
31,7,HAP-211057,"Chè, các loại giải khát",Chè Thái,Variety of jello and milk dessert soup,123,Kcal,4.5,2.5,20.6
31,8,HAP-221027,Các món khác,Ngô luộc,Boiled corn,301.4,Kcal,6.8,3.9,59.8
31,9,HAP-211015,"Ngao, ốc",Ốc bông xào bơ trứng mặn,Stir-fried snail with salted butter egg yolk sauce,575.5,Kcal,19.9,40.7,32.4
31,10,HAP-223021,Các món khác,Ngô cay,Spicy corn,791.6,Kcal,10.2,41.9,93.5
31,11,HAP-213045,"Ngao, ốc",Ốc bông xào me,Stir-fried snail with tamarind sauce,488.7,Kcal,38.6,23.8,30.1
31,12,HAP-221020,Các món khác,Nem rán,Fried spring rolls,336.7,Kcal,9.7,19.2,31.3
31,13,HAP-211013,"Chè, các loại giải khát",Ốc đá xào,Stir fried snail,187.6,Kcal,30.3,1.2,14
31,14,HAP-223026,Các món khác,Lòng lợn luộc,Boiled pork offal,303.8,Kcal,33.3,16,6.6
31,15,HAP-211096,"Ngao, ốc",Ốc mít luộc mắm,Boiled snail in fish sauce,158.3,Kcal,17.6,1.2,19.3
32,1,HAP-221021,Các món khác,Khoai tây chiên,French fries,372.1,Kcal,4.6,4.6,50.6
32,2,HAP-213044,"Ngao, ốc",Ốc mỡ xào ngô,Fried snail with maize seeds,420.9,Kcal,42.1,10.7,39.1
32,3,HAP-221015,Các món khác,Khoai lang luộc,Boiled sweet potato,707.1,Kcal,4.6,1.1,169.7
32,4,HAP-211068,Các món khác,Chim cút quay lá mắc mật (4 con),Roasted bird with Dalzell oliv leaves,373.7,Kcal,61,12.9,3.4
32,5,HAP-221036,Các món khác,Hạt dẻ nướng,Roasted chestnuts,196.7,Kcal,3.7,1,43.3
32,6,HAP-211098,Các món khác,Dồi sụn nướng,Roasted pig small intestine,307.1,Kcal,23.6,22.2,3.2
32,7,HAP-223020,Các món khác,Giò lợn,Pork ham,170.7,Kcal,27.1,6.9,
32,8,HAP-211012,Các món khác,Giá bể xào,Stir-fried Lamp Shell,308.7,Kcal,39,3.2,31.1
32,9,HAP-223001,Các món khác,Cá viên chiên đường phố,Street-style fried fish balls,278,Kcal,7.9,22.3,11.3
32,10,HAP-213015,Các món khác,Lòng dồi sụn,Pork Cartilage blood sausages,309.3,Kcal,34,12.7,14.9
32,11,HAP-223013,Các món khác,Bỏng ngô,Popcorn,370.2,Kcal,8.3,1.5,80.8
32,12,HAP-211039,Các món khác,Nem Thính,Pork ear and pork belly mixed with roasted rice powder,612.3,Kcal,44.8,25.2,51.7
32,13,HAP-223003,Các món khác,Bò viên chiên đường phố,Street-style fried beef balls,227,Kcal,12.4,15.3,9.9
32,14,HAP-213066,Các món khác,Nộm bò khô,Salad with dried beef and green papaya,239.7,Kcal,14.6,9.8,23
32,15,HAP-211093,Các món khác,Phá lấu,Offal stew,305.9,Kcal,21.6,6.1,41.3
33,1,HAP-211093,Các món khác,Phá lấu,Offal stew,305.9,Kcal,21.6,6.1,41.3
33,2,HAP-221014,"Chè, các loại giải khát",Nước mía,Sugarcane juice,269.4,Kcal,0.1,,67.3
33,3,HAP-211114,Các món khác,Sủi dìn,Glutinous rice balls filled with mung bean patse and black sesame patse in syrup,274.8,Kcal,4.8,6.5,49.3
33,4,HAP-221012,"Chè, các loại giải khát",Nước ép dứa,Pineapple juice,177.6,Kcal,4.4,,40
33,5,HAP-211109,Các món khác,Vịt rang me,Roasted duck with tamarind,656.2,Kcal,33.7,53.7,9.5
33,6,HAP-223012,"Chè, các loại giải khát",Hoa quả dầm,Mixed fruit dessert,335.9,Kcal,7.7,8.2,57.8
33,7,HAP-211055,"Bánh đa, bún, phở",Bánh đa bò nhừ,Crispy rice paper with tender beef,545.6,Kcal,51.5,5.9,71.5
33,8,HAP-223028,"Chè, các loại giải khát",Chè vừng đen,Black sesame sweet soup,457.1,Kcal,12.8,20.7,54.9
33,9,HAP-211045,"Bánh đa, bún, phở",Bánh đa cua,Crab noodle soup with red rice noodles,420.5,Kcal,19.7,11.9,58.7
33,10,HAP-221006,"Chè, các loại giải khát",Chè đỗ xanh,Mung bean sweet soup,325.6,Kcal,13.4,3.3,60.7
33,11,HAP-213016,"Bánh đa, bún, phở",Bánh đa bò nhừ,Crispy rice paper with tender beef,407.3,Kcal,32,8.6,50.6
33,12,HAP-223017,Các loại bánh,Bánh xiên quẩy đường,Sugar-coated fried dough skewers,513,Kcal,13.9,18,73.8
33,13,HAP-213025,"Bánh đa, bún, phở",Bánh đa cua,Crab noodle soup with red rice noodles,420.6,Kcal,20.8,9.1,63.8
33,14,HAP-223027,Các loại bánh,Bánh trôi,Glutinous rice balls in syrup,87,Kcal,1.5,2.2,15.4
33,15,HAP-213069,"Bánh đa, bún, phở",Bánh đa ngan,Red rice noodle soup with duck,534.1,Kcal,22,24.2,55.8
34,1,HAP-223004,Các loại bánh,Bánh tráng trộn,Mixed rice paper salad,510.8,Kcal,26.5,13.6,70.6
34,2,HAP-213019,"Bánh đa, bún, phở",Bún mắm,Fermented fish noodle soup,471.8,Kcal,22.5,16.1,59.3
34,3,HAP-223031,Các loại bánh,Bánh tiêu,Hollow fried doughnut,469.5,Kcal,6.7,27.9,47.9
34,4,HAP-211011,"Bánh đa, bún, phở",Bún bò dấm,Vietnamese beef and rice vermicelli with vinegar sauce,553.8,Kcal,32.5,8.5,86.7
34,5,HAP-221001,Các loại bánh,Bánh su kem,Cream puff,227.3,Kcal,7,16.5,12.9
34,6,HAP-211001,"Bánh đa, bún, phở",Bún bò nhừ,Vietnamese noodle soup with tender stewed beef,803.3,Kcal,60.9,19.8,95.1
34,7,HAP-221002,Các loại bánh,Bánh rán vừng 3 cái,Sesame fried cake (3 pieces),332.9,Kcal,5.3,18.2,37
34,8,HAP-213030,"Bánh đa, bún, phở",Bún cá cay,Spicy fish noodle soup,548.8,Kcal,24.3,15.5,78.1
34,9,HAP-223015,Các loại bánh,Bánh rán ngọt không vừng 5 cái,Sweet fried cake without sesame (5 pieces),554.9,Kcal,8.8,30.4,61.6
34,10,HAP-211104,"Bánh đa, bún, phở",Bún cá cay Cảng,Hai Phong spicy fish noodle soup (Cang style),451,Kcal,20,14.5,60.1
34,11,HAP-223014,Các loại bánh,Bánh rán ngọt có vừng (3c),Sweet sesame fried cake (3 pieces),289.5,Kcal,4.6,15.8,32.1
34,12,HAP-123029,"Chè, các loại giải khát",Nước chanh leo,Passion fruit juice,66,Kcal,0.5,0.2,15.6
34,13,HAP-223032,Các loại bánh,Bánh quẩy đùi gà,Chicken-drumstick–shaped fried cruller,533.6,Kcal,14.5,19.6,74.9
34,14,HAP-122021,"Chè, các loại giải khát",Nước mía chanh leo,Passion fruit mix sugarcane juice,256.3,Kcal,0.3,0.1,63.7
34,15,HAP-221004,Các loại bánh,Bánh nếp,Glutinous rice cake,292.4,Kcal,7.5,1.1,63.2
35,1,HAP-221004,Các loại bánh,Bánh nếp,Glutinous rice cake,292.4,Kcal,7.5,1.1,63.2
35,2,HAP-213020,"Bánh đa, bún, phở",Bún cá chấm,Fish noodle with dipings,670.4,Kcal,34.7,16,97
35,3,HAP-223009,Các loại bánh,Bánh mỳ không,Plain baguette,100,Kcal,3.2,0.3,21.1
35,4,HAP-213048,"Bánh đa, bún, phở",Bún cua thập cẩm,Rice vermicelli soup with crab and mixed seafood,595.3,Kcal,24.2,6.8,109.1
35,5,HAP-221018,Các loại bánh,Bánh mỳ giò chả,Baguette with pork sausage,195.7,Kcal,18.6,4.2,20.9
35,6,HAP-213032,"Bánh đa, bún, phở",Bún chả,Kebab rice noodles,746.5,Kcal,22.3,21.5,116
35,7,HAP-223029,Các loại bánh,Bánh mỳ cay,Spicy baguette,155,Kcal,8.6,3,23.4
