source,source_id,name_vi,name_en,category,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg,canonical_name_en,alias_vi,source_priority,match_type,confidence_score,canonical_key,is_estimated
NIN,HAN-122021,Nước mía chanh leo,Passion fruit mix sugarcane juice,"Chè, các loại giải khát",256.3,0.3,0.1,63.7,7.3,0.0,0.0,1.4,0.2,0.0,3.2,0.0,3.3,0.0,Passion fruit mix sugarcane juice,Nước mía chanh leo,1,canonical_nin,1.0,passion fruit mix sugarcane juice,False
NIN,HAN-123029,Nước chanh leo,Passion fruit juice,"Chè, các loại giải khát",66.0,0.5,0.2,15.6,15.4,0.0,0.0,3.3,0.4,0.0,6.7,0.0,7.0,0.0,Passion fruit juice,Nước chanh leo,1,canonical_nin,1.0,passion fruit juice,False
NIN,HAN-122060,Hoa quả dầm,Mixed fruit with condensed milk,"Chè, các loại giải khát",257.8,5.5,5.1,47.5,155.8,0.0,0.0,282.9,2.6,1.0,76.8,12.6,40.0,0.0,Mixed fruit with condensed milk,Hoa quả dầm,1,canonical_nin,1.0,mixed fruit with condensed milk,False
NIN,HAN-121003,Chè thập cẩm,Mixed bean dessert soup,"Chè, các loại giải khát",593.2,20.7,16.8,89.8,13.1,0.0,0.0,122.4,12.0,2.0,9.5,0.0,196.8,0.0,Mixed bean dessert soup,Chè thập cẩm,1,canonical_nin,1.0,mixed bean dessert soup,False
NIN,HAN-121002,Chè đỗ xanh trân châu,Mung bean dessert soup with tapioca pearls,"Chè, các loại giải khát",388.7,10.3,10.6,63.0,0.6,0.0,0.0,72.6,4.2,1.0,13.8,0.0,111.4,0.0,Mung bean dessert soup with tapioca pearls,Chè đỗ xanh trân châu,1,canonical_nin,1.0,mung bean dessert soup with tapioca pearls,False
NIN,HAN-123014,Chè đỗ đỏ,Red bean dessert soup,"Chè, các loại giải khát",311.5,8.0,5.5,57.5,0.0,0.0,0.0,84.3,7.1,2.7,13.6,0.0,16.0,0.0,Red bean dessert soup,Chè đỗ đỏ,1,canonical_nin,1.0,red bean dessert soup,False
NIN,HAN-121001,Chè đỗ đen,Black bean dessert soup,"Chè, các loại giải khát",386.8,7.7,8.5,70.0,0.1,0.0,0.0,130.2,6.3,1.7,12.3,0.0,63.6,0.0,Black bean dessert soup,Chè đỗ đen,1,canonical_nin,1.0,black bean dessert soup,False
NIN,HAN-123015,Chè bưởi,Pomelo dessert soup,"Chè, các loại giải khát",204.7,3.4,4.5,37.7,0.3,0.0,0.0,84.4,4.1,0.6,50.9,0.0,47.6,0.0,Pomelo dessert soup,Chè bưởi,1,canonical_nin,1.0,pomelo dessert soup,False
NIN,HAN-122069,Bò bía,Sweet popiah,Các loại bánh,184.5,2.1,10.0,21.6,0.0,0.0,0.0,29.6,7.8,1.4,2.0,1.3,47.0,0.0,Sweet popiah,Bò bía,1,canonical_nin,1.0,sweet popiah,False
NIN,HAN-121051,Bánh tráng nướng,Grilled girdle cake,Các loại bánh,314.0,13.0,20.2,19.7,59.2,0.0,0.0,83.4,2.1,0.6,123.3,131.5,18.8,0.0,Grilled girdle cake,Bánh tráng nướng,1,canonical_nin,1.0,grilled girdle cake,False
NIN,HAN-121020,Bánh ngô,Sweet corn fritters,Các loại bánh,458.7,6.7,21.6,59.4,11.2,0.0,0.0,26.3,1.7,1.8,3.3,0.0,91.4,0.0,Sweet corn fritters,Bánh ngô,1,canonical_nin,1.0,sweet corn fritters,False
NIN,HAN-122050,Bánh khoai,Sweet potato fritters,Các loại bánh,162.6,4.7,1.8,31.8,0.0,0.0,0.0,5.4,1.2,0.7,0.0,0.0,0.0,0.0,Sweet potato fritters,Bánh khoai,1,canonical_nin,1.0,sweet potato fritters,False
NIN,HAN-122057,Bánh crepe xúc xích,Sausage crepes cake,Các loại bánh,346.5,11.7,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sausage crepes cake,Bánh crepe xúc xích,1,canonical_nin,1.0,sausage crepes cake,False
NIN,HAN-122058,Bánh crepe socola chuối,Banana chocolate crepe cake,Các loại bánh,309.1,7.4,14.8,36.7,100.8,0.0,0.0,81.1,1.4,1.2,219.6,88.5,87.0,0.0,Banana chocolate crepe cake,Bánh crepe socola chuối,1,canonical_nin,1.0,banana chocolate crepe cake,False
NIN,HAN-123048,Bánh crepe ngọt,Sweet crepes cake,Các loại bánh,284.5,8.5,13.6,32.2,97.1,0.0,0.0,181.9,0.5,1.1,271.1,76.0,46.1,0.0,Sweet crepes cake,Bánh crepe ngọt,1,canonical_nin,1.0,sweet crepes cake,False
NIN,HAN-123047,Bánh crepe mặn,Crepes cake with sausage and cheese,Các loại bánh,299.8,10.0,20.5,18.9,93.4,0.0,0.0,129.8,0.6,1.3,371.3,85.5,39.0,0.0,Crepes cake with sausage and cheese,Bánh crepe mặn,1,canonical_nin,1.0,crepes cake with sausage and cheese,False
NIN,HAN-122059,Bánh crepe dăm bông phô mai,Crepes cake with ham and cheese,Các loại bánh,350.4,10.3,23.8,23.7,105.4,0.0,0.0,145.8,0.8,1.0,394.0,91.5,45.8,0.0,Crepes cake with ham and cheese,Bánh crepe dăm bông phô mai,1,canonical_nin,1.0,crepes cake with ham and cheese,False
NIN,HAN-122031,Bánh gio mật mía,Alkaline sticky rice dumplings with molasses,Các loại bánh,432.5,3.4,0.6,103.3,0.0,0.0,0.0,278.1,2.3,1.0,1.9,0.0,1.0,0.0,Alkaline sticky rice dumplings with molasses,Bánh gio mật mía,1,canonical_nin,1.0,alkaline sticky rice dumplings with molasses,False
NIN,HAN-121008,Cháo ruốc thịt lợn,Rice congee with dried shredded pork,"Cơm, cháo, xôi",223.6,7.7,4.3,38.6,0.0,0.0,0.0,24.8,0.5,0.6,90.2,2.7,9.0,0.0,Rice congee with dried shredded pork,Cháo ruốc thịt lợn,1,canonical_nin,1.0,rice congee with dried shredded pork,False
NIN,HAN-121057,Cháo lòng lợn,Rice congee with hog intestines,"Cơm, cháo, xôi",517.0,28.0,11.9,74.6,1535.0,0.0,0.0,148.0,15.5,4.1,781.9,243.0,51.7,0.0,Rice congee with hog intestines,Cháo lòng lợn,1,canonical_nin,1.0,rice congee with hog intestines,False
NIN,HAN-121052,"Cháo đậu đen, đậu phụ",Rice congee with black beans and fried tofu,"Cơm, cháo, xôi",307.1,15.2,10.4,38.2,0.7,0.0,0.0,53.4,3.2,1.3,8.1,0.0,32.6,0.0,Rice congee with black beans and fried tofu,"Cháo đậu đen, đậu phụ",1,canonical_nin,1.0,rice congee with black beans and fried tofu,False
NIN,HAN-122003,Xôi trắng thịt trứng,Sticky rice with braised meat and eggs,"Cơm, cháo, xôi",689.7,23.6,14.6,115.9,138.7,0.0,0.0,79.4,4.3,4.1,444.9,589.3,45.2,0.0,Sticky rice with braised meat and eggs,Xôi trắng thịt trứng,1,canonical_nin,1.0,sticky rice with braised meat and eggs,False
NIN,HAN-121036,Xôi ngô,Sticky rice with maize seeds and mung bean paste,"Cơm, cháo, xôi",389.9,11.7,8.3,67.1,10.7,0.0,0.0,54.1,3.3,2.4,21.2,0.0,79.7,0.0,Sticky rice with maize seeds and mung bean paste,Xôi ngô,1,canonical_nin,1.0,sticky rice with maize seeds and mung bean paste,False
NIN,HAN-122002,Xôi lạc vừng ruốc,Sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt,"Cơm, cháo, xôi",457.0,15.7,8.5,79.5,0.1,0.0,0.0,53.8,1.9,2.7,136.2,6.0,48.8,0.0,Sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt,Xôi lạc vừng ruốc,1,canonical_nin,1.0,sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt,False
NIN,HAN-121067,"Cơm suất (trứng, thịt ba chỉ)",Set meal (egg and pork belly),"Cơm, cháo, xôi",793.8,29.1,36.8,86.6,82.3,0.0,0.0,145.3,3.9,3.6,717.6,201.7,41.0,0.0,Set meal (egg and pork belly),"Cơm suất (trứng, thịt ba chỉ)",1,canonical_nin,1.0,set meal (egg and pork belly),False
NIN,HAN-121065,"Cơm suất (thịt, cá)",Set meal (amur carp and pig leg),"Cơm, cháo, xôi",599.2,27.3,11.5,96.7,51.8,0.0,0.0,200.7,4.1,4.2,407.5,51.8,51.9,0.0,Set meal (amur carp and pig leg),"Cơm suất (thịt, cá)",1,canonical_nin,1.0,set meal (amur carp and pig leg),False
NIN,HAN-121033,Cơm gà,Economy rice with chicken,"Cơm, cháo, xôi",1140.4,51.8,56.5,106.2,148.2,0.0,0.0,209.5,7.0,5.9,561.4,348.2,65.1,0.0,Economy rice with chicken,Cơm gà,1,canonical_nin,1.0,economy rice with chicken,False
