alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-001776,yogurt with pandan leaf jelly,Yogurt with pandan leaf jelly,sua chua thach la nep,vi,non_diacritic,False,NIN,1
ALIAS-001777,black sticky rice yogurt with jackfruit and caramel,Black sticky rice yogurt with jackfruit and caramel,"sua chua nep cam, mit, caramen",vi,non_diacritic,False,NIN,1
ALIAS-001778,black sticky rice yogurt,Black sticky rice yogurt,sua chua nep cam,vi,non_diacritic,False,NIN,1
ALIAS-001779,caramel with aloe vera and jackfruit,Caramel with aloe vera and jackfruit,nha dam tron mit caramen,vi,non_diacritic,False,NIN,1
ALIAS-001780,mixed fresh fruit,Mixed fresh fruit,hoa qua dam,vi,non_diacritic,False,NIN,1
ALIAS-001781,almond panna cotta dessert soup,Almond panna cotta dessert soup,che thap cam (khong co xoi),vi,non_diacritic,False,NIN,1
ALIAS-001782,mixed bean dessert soup,Mixed bean dessert soup,che thap cam (co xoi),vi,non_diacritic,False,NIN,1
ALIAS-001783,almond panna cotta dessert soup,Almond panna cotta dessert soup,che khuc bach,vi,non_diacritic,False,NIN,1
ALIAS-001784,coconut ice cream dessert soup,Coconut ice cream dessert soup,che kem dua,vi,non_diacritic,False,NIN,1
ALIAS-001785,caramel mixed with tapioca pearls,Caramel mixed with tapioca pearls,caramen thap cam (khong xoi),vi,non_diacritic,False,NIN,1
ALIAS-001786,"caramel mixed with black sticky rice, tapioca pearls and fruit","Caramel mixed with black sticky rice, tapioca pearls and fruit",caramen thap cam (co xoi),vi,non_diacritic,False,NIN,1
ALIAS-001787,caramel mixed with match jelly,Caramel mixed with match jelly,caramen matcha tron,vi,non_diacritic,False,NIN,1
ALIAS-001788,caramel with mixed fruit,Caramel with mixed fruit,caramen hoa qua tuoi,vi,non_diacritic,False,NIN,1
ALIAS-001789,caramel,Caramel,caramen,vi,non_diacritic,False,NIN,1
ALIAS-001790,egg coffee,Egg coffee,ca phe trung,vi,non_diacritic,False,NIN,1
ALIAS-001791,bacon pizza (l size),Bacon pizza (L size),pizza thit xong khoi (co l),vi,non_diacritic,False,NIN,1
ALIAS-001792,mixed pizza (l size),Mixed pizza (L size),pizza thap cam (co l),vi,non_diacritic,False,NIN,1
ALIAS-001793,seafood pizza (m size),Seafood pizza (M size),pizza hai san (co m),vi,non_diacritic,False,NIN,1
ALIAS-001794,seafood pizza (l size),Seafood pizza (L size),pizza hai san (co l),vi,non_diacritic,False,NIN,1
ALIAS-001795,cheesy chicken pizza (s size),Cheesy Chicken Pizza (S size),pizza ga pho mai (co s),vi,non_diacritic,False,NIN,1
ALIAS-001796,bbq chicken mushroom pizza (l size),BBQ chicken mushroom pizza (L size),pizza ga nuong nam (co l),vi,non_diacritic,False,NIN,1
ALIAS-001797,premium beed pizza (m size),Premium beed pizza (M size),pizza bo (co m),vi,non_diacritic,False,NIN,1
ALIAS-001798,pork hamburger,Pork hamburger,hamburger lon,vi,non_diacritic,False,NIN,1
ALIAS-001799,chicken humburger,Chicken Humburger,hamburger ga,vi,non_diacritic,False,NIN,1
ALIAS-001800,beef hamburger,Beef Hamburger,hamburger bo,vi,non_diacritic,False,NIN,1
ALIAS-001801,shrimp burger,Shrimp burger,burger tom,vi,non_diacritic,False,NIN,1
ALIAS-001802,chicken burger,Chicken Burger,burger ga,vi,non_diacritic,False,NIN,1
ALIAS-001803,fish burger,Fish Burger,burger ca,vi,non_diacritic,False,NIN,1
ALIAS-001804,hong mai chicken nugget,Hong Mai Chicken nugget,banh ga hong mai,vi,non_diacritic,False,NIN,1
ALIAS-001805,glutinous rice balls filled with mung bean patse and black sesame patse in syrup,Glutinous rice balls filled with mung bean patse and black sesame patse in syrup,banh troi tau,vi,non_diacritic,False,NIN,1
ALIAS-001806,ho tay crispy prawn fritters,Ho Tay crispy prawn fritters,banh tom ho tay,vi,non_diacritic,False,NIN,1
ALIAS-001807,rice pancake rolled with pork (thanh tri style),Rice pancake rolled with pork (Thanh Tri style),banh cuon thanh tri,vi,non_diacritic,False,NIN,1
ALIAS-001808,banh my with pate and mixed,Banh my with Pate and mixed,banh my pate thap cam,vi,non_diacritic,False,NIN,1
ALIAS-001809,banh my with pate and fried egg,Banh my with Pate and fried egg,banh my pa te trung,vi,non_diacritic,False,NIN,1
ALIAS-001810,banh my with pork served in frying pan,Banh my with pork served in frying pan,banh my chao lon,vi,non_diacritic,False,NIN,1
ALIAS-001811,banh my with beef served in frying pan,Banh my with beef served in frying pan,banh my chao bo,vi,non_diacritic,False,NIN,1
ALIAS-001812,banh my with steak,Banh my with steak,banh my bit tet,vi,non_diacritic,False,NIN,1
ALIAS-001813,banh my with bacon and sausage served in frying pan,Banh my with bacon and sausage served in frying pan,banh mi chao,vi,non_diacritic,False,NIN,1
ALIAS-001814,sticky rice with char siu,Sticky rice with Char siu,xoi xiu,vi,non_diacritic,False,NIN,1
ALIAS-001815,sticky rice with braised pork belly and mung bean paste,Sticky rice with braised pork belly and mung bean paste,xoi xeo thit,vi,non_diacritic,False,NIN,1
ALIAS-001816,sticky rice with mixed meat and vegetables,Sticky rice with mixed meat and vegetables,xoi thap cam,vi,non_diacritic,False,NIN,1
ALIAS-001817,sticky rice with shredded tilapia fish,Sticky rice with shredded Tilapia fish,xoi ca ro dong,vi,non_diacritic,False,NIN,1
ALIAS-001818,vermicelli mixed with fresh water crab paste,Vermicelli mixed with fresh water crab paste,mien rieu cua (tron),vi,non_diacritic,False,NIN,1
ALIAS-001819,vermicelli soup with fresh water crab paste,Vermicelli soup with fresh water crab paste,mien rieu cua (nuoc),vi,non_diacritic,False,NIN,1
